
DID,BALANCE,OPEN DATE
00001,2965.78,06AUG2012
00002,3456.33,03APR2013
00003,4125.00,22OCT2014
00004,5344.99,23FEB2015
00005,200000.00,14JUN2016
00006,Gavin,juuiioo098
DID,BALANCE,OPEN DATE
00001,2965.78,06AUG2012
00002,3456.33,03APR2013
00003,4125.00,22OCT2014
00004,5344.99,23FEB2015
00005,200000.00,14JUN2016
00006,Gavin,juuiioo098
DID,BALANCE,OPEN DATE
00001,2965.78,06AUG2012
00002,3456.33,03APR2013
00003,4125.00,22OCT2014
00004,5344.99,23FEB2015
00005,200000.00,14JUN2016
00006,Gavin,juuiioo098
